Experiment,Source quality,Direct columns,Bridged columns
"Static: commodities 16%, baseline mix",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Static: commodities 16%, equal mix",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Static: commodities 16%, metals only",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Static: commodities 16%, gold only",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Static: commodities 20%, baseline mix",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Static: commodities 20%, equal mix",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Static: commodities 20%, metals only",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Static: commodities 20%, gold only",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static: Bitcoin total 0.0%,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static: Bitcoin total 2.5%,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static: Bitcoin total 7.5%,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static: Bitcoin total 10.0%,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static: Bitcoin total 15.0%,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static: remove Growth_QQQ,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static: remove Broad_US,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static: remove Trend,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static: remove Rates_US5,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static: remove Styles,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static: remove Gold,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static: remove Corn,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static: remove Silver,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static: remove Bitcoin,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static: remove corn and silver,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static: equal-weight all sleeves,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static: equal economic clusters,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static: expanded diversified prior,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static: growth-heavy prior,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static: diversifier-heavy prior,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static: all-weather aggressive,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static: QQQ-trend barbell,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Static: styles-trend maximizer,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Dynamic inverse-vol: 52w, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Dynamic inverse-vol: 104w, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Dynamic inverse-vol: 260w, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Dynamic ERC: 104w, shrink 50%, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Dynamic ERC: 260w, shrink 50%, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Dynamic Minimum variance: 104w, shrink 50%, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Dynamic Minimum variance: 260w, shrink 50%, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Dynamic Maximum diversification: 104w, shrink 50%, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Dynamic Maximum diversification: 260w, shrink 50%, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Dynamic HRP: 104w, shrink 25%, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Dynamic HRP: 260w, shrink 25%, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Dynamic tail-risk parity proxy: 104w, tail 10%, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Dynamic tail-risk parity proxy: 260w, tail 10%, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Dynamic robust max-Sharpe: mean 156w, haircut 25%, shrink 50%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Dynamic robust max-Sharpe: mean 156w, haircut 50%, shrink 50%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Dynamic robust max-Sharpe: mean 260w, haircut 25%, shrink 50%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Dynamic robust max-Sharpe: mean 260w, haircut 50%, shrink 50%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Dynamic cluster inverse-risk: 104w,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
Dynamic cluster inverse-risk: 260w,Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt relative: 13w, k=0.25, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt relative: 13w, k=0.25, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt absolute+relative: 13w, k=0.25, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt absolute+relative: 13w, k=0.25, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt relative: 13w, k=0.50, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt relative: 13w, k=0.50, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt absolute+relative: 13w, k=0.50, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt absolute+relative: 13w, k=0.50, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt relative: 13w, k=1.00, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt relative: 13w, k=1.00, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt absolute+relative: 13w, k=1.00, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt absolute+relative: 13w, k=1.00, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt relative: 26w, k=0.25, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt relative: 26w, k=0.25, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt absolute+relative: 26w, k=0.25, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt absolute+relative: 26w, k=0.25, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt relative: 26w, k=0.50, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt relative: 26w, k=0.50, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt absolute+relative: 26w, k=0.50, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt absolute+relative: 26w, k=0.50, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt relative: 26w, k=1.00, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt relative: 26w, k=1.00, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt absolute+relative: 26w, k=1.00, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt absolute+relative: 26w, k=1.00, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt relative: 52w, k=0.25, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt relative: 52w, k=0.25, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt absolute+relative: 52w, k=0.25, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt absolute+relative: 52w, k=0.25, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt relative: 52w, k=0.50, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt relative: 52w, k=0.50, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt absolute+relative: 52w, k=0.50, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt absolute+relative: 52w, k=0.50, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt relative: 52w, k=1.00, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt relative: 52w, k=1.00, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt absolute+relative: 52w, k=1.00, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt absolute+relative: 52w, k=1.00, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt relative: 13/26/52w, k=0.25, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt relative: 13/26/52w, k=0.25, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt absolute+relative: 13/26/52w, k=0.25, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt absolute+relative: 13/26/52w, k=0.25, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt relative: 13/26/52w, k=0.50, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt relative: 13/26/52w, k=0.50, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt absolute+relative: 13/26/52w, k=0.50, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt absolute+relative: 13/26/52w, k=0.50, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt relative: 13/26/52w, k=1.00, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt relative: 13/26/52w, k=1.00, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt absolute+relative: 13/26/52w, k=1.00, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt absolute+relative: 13/26/52w, k=1.00, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt relative: 26/52/104w, k=0.25, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt relative: 26/52/104w, k=0.25, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt absolute+relative: 26/52/104w, k=0.25, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt absolute+relative: 26/52/104w, k=0.25, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt relative: 26/52/104w, k=0.50, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt relative: 26/52/104w, k=0.50, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt absolute+relative: 26/52/104w, k=0.50, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt absolute+relative: 26/52/104w, k=0.50, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt relative: 26/52/104w, k=1.00, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt relative: 26/52/104w, k=1.00, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt absolute+relative: 26/52/104w, k=1.00, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Momentum tilt absolute+relative: 26/52/104w, k=1.00, reb 13w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Equity trend filter: 26w, cut 25%, reb 1w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
