Experiment,Source quality,Direct columns,Bridged columns
"Equity trend filter: 52w, cut 100%, reb 1w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Equity trend filter: 52w, cut 100%, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Equity trend filter: 104w, cut 25%, reb 1w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Equity trend filter: 104w, cut 25%, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Equity trend filter: 104w, cut 50%, reb 1w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Equity trend filter: 104w, cut 50%, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Equity trend filter: 104w, cut 75%, reb 1w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Equity trend filter: 104w, cut 75%, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Equity trend filter: 104w, cut 100%, reb 1w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Equity trend filter: 104w, cut 100%, reb 4w",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-vol equity cut: 13w, q70%, cut 25%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-vol equity cut: 13w, q70%, cut 50%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-vol equity cut: 13w, q70%, cut 75%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-vol equity cut: 13w, q80%, cut 25%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-vol equity cut: 13w, q80%, cut 50%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-vol equity cut: 13w, q80%, cut 75%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-vol equity cut: 13w, q90%, cut 25%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-vol equity cut: 13w, q90%, cut 50%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-vol equity cut: 13w, q90%, cut 75%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-vol equity cut: 26w, q70%, cut 25%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-vol equity cut: 26w, q70%, cut 50%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-vol equity cut: 26w, q70%, cut 75%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-vol equity cut: 26w, q80%, cut 25%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-vol equity cut: 26w, q80%, cut 50%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-vol equity cut: 26w, q80%, cut 75%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-vol equity cut: 26w, q90%, cut 25%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-vol equity cut: 26w, q90%, cut 50%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-vol equity cut: 26w, q90%, cut 75%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-correlation defensive tilt: 26w, q70%, cut 25%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-correlation defensive tilt: 26w, q70%, cut 50%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-correlation defensive tilt: 26w, q80%, cut 25%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-correlation defensive tilt: 26w, q80%, cut 50%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-correlation defensive tilt: 26w, q90%, cut 25%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-correlation defensive tilt: 26w, q90%, cut 50%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-correlation defensive tilt: 52w, q70%, cut 25%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-correlation defensive tilt: 52w, q70%, cut 50%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-correlation defensive tilt: 52w, q80%, cut 25%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-correlation defensive tilt: 52w, q80%, cut 50%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-correlation defensive tilt: 52w, q90%, cut 25%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-correlation defensive tilt: 52w, q90%, cut 50%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-correlation defensive tilt: 104w, q70%, cut 25%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-correlation defensive tilt: 104w, q70%, cut 50%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-correlation defensive tilt: 104w, q80%, cut 25%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-correlation defensive tilt: 104w, q80%, cut 50%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-correlation defensive tilt: 104w, q90%, cut 25%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"High-correlation defensive tilt: 104w, q90%, cut 50%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Sleeve drawdown scaling: cut -10%, floor 0%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Sleeve drawdown scaling: cut -10%, floor 25%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Sleeve drawdown scaling: cut -10%, floor 50%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Sleeve drawdown scaling: cut -20%, floor 0%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Sleeve drawdown scaling: cut -20%, floor 25%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Sleeve drawdown scaling: cut -20%, floor 50%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Sleeve drawdown scaling: cut -30%, floor 0%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Sleeve drawdown scaling: cut -30%, floor 25%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Sleeve drawdown scaling: cut -30%, floor 50%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Added commodities TSMOM long-short [13, 26, 52], weight 5%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_commodities_LS_13_26_52
"Added commodities TSMOM long-short [13, 26, 52], weight 10%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_commodities_LS_13_26_52
"Added commodities TSMOM long-short [13, 26, 52], weight 15%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_commodities_LS_13_26_52
"Added commodities TSMOM long-short [13, 26, 52], weight 20%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_commodities_LS_13_26_52
"Added commodities TSMOM long-flat [13, 26, 52], weight 5%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_commodities_LF_13_26_52
"Added commodities TSMOM long-flat [13, 26, 52], weight 10%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_commodities_LF_13_26_52
"Added commodities TSMOM long-flat [13, 26, 52], weight 15%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_commodities_LF_13_26_52
"Added commodities TSMOM long-flat [13, 26, 52], weight 20%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_commodities_LF_13_26_52
"Added commodities TSMOM long-short [26, 52, 104], weight 5%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_commodities_LS_26_52_104
"Added commodities TSMOM long-short [26, 52, 104], weight 10%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_commodities_LS_26_52_104
"Added commodities TSMOM long-short [26, 52, 104], weight 15%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_commodities_LS_26_52_104
"Added commodities TSMOM long-short [26, 52, 104], weight 20%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_commodities_LS_26_52_104
"Added commodities TSMOM long-flat [26, 52, 104], weight 5%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_commodities_LF_26_52_104
"Added commodities TSMOM long-flat [26, 52, 104], weight 10%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_commodities_LF_26_52_104
"Added commodities TSMOM long-flat [26, 52, 104], weight 15%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_commodities_LF_26_52_104
"Added commodities TSMOM long-flat [26, 52, 104], weight 20%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_commodities_LF_26_52_104
"Added equities TSMOM long-short [13, 26, 52], weight 5%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_equities_LS_13_26_52
"Added equities TSMOM long-short [13, 26, 52], weight 10%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_equities_LS_13_26_52
"Added equities TSMOM long-short [13, 26, 52], weight 15%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_equities_LS_13_26_52
"Added equities TSMOM long-short [13, 26, 52], weight 20%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_equities_LS_13_26_52
"Added equities TSMOM long-flat [13, 26, 52], weight 5%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_equities_LF_13_26_52
"Added equities TSMOM long-flat [13, 26, 52], weight 10%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_equities_LF_13_26_52
"Added equities TSMOM long-flat [13, 26, 52], weight 15%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_equities_LF_13_26_52
"Added equities TSMOM long-flat [13, 26, 52], weight 20%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_equities_LF_13_26_52
"Added equities TSMOM long-short [26, 52, 104], weight 5%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_equities_LS_26_52_104
"Added equities TSMOM long-short [26, 52, 104], weight 10%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_equities_LS_26_52_104
"Added equities TSMOM long-short [26, 52, 104], weight 15%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_equities_LS_26_52_104
"Added equities TSMOM long-short [26, 52, 104], weight 20%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_equities_LS_26_52_104
"Added equities TSMOM long-flat [26, 52, 104], weight 5%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_equities_LF_26_52_104
"Added equities TSMOM long-flat [26, 52, 104], weight 10%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_equities_LF_26_52_104
"Added equities TSMOM long-flat [26, 52, 104], weight 15%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_equities_LF_26_52_104
"Added equities TSMOM long-flat [26, 52, 104], weight 20%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_equities_LF_26_52_104
"Added all sleeves ex existing trend TSMOM long-short [13, 26, 52], weight 5%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_all sleeves ex existing trend_LS_13_26_52
"Added all sleeves ex existing trend TSMOM long-short [13, 26, 52], weight 10%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_all sleeves ex existing trend_LS_13_26_52
"Added all sleeves ex existing trend TSMOM long-short [13, 26, 52], weight 15%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_all sleeves ex existing trend_LS_13_26_52
"Added all sleeves ex existing trend TSMOM long-short [13, 26, 52], weight 20%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_all sleeves ex existing trend_LS_13_26_52
"Added all sleeves ex existing trend TSMOM long-flat [13, 26, 52], weight 5%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_all sleeves ex existing trend_LF_13_26_52
"Added all sleeves ex existing trend TSMOM long-flat [13, 26, 52], weight 10%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_all sleeves ex existing trend_LF_13_26_52
"Added all sleeves ex existing trend TSMOM long-flat [13, 26, 52], weight 15%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_all sleeves ex existing trend_LF_13_26_52
"Added all sleeves ex existing trend TSMOM long-flat [13, 26, 52], weight 20%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_all sleeves ex existing trend_LF_13_26_52
"Added all sleeves ex existing trend TSMOM long-short [26, 52, 104], weight 5%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_all sleeves ex existing trend_LS_26_52_104
"Added all sleeves ex existing trend TSMOM long-short [26, 52, 104], weight 10%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_all sleeves ex existing trend_LS_26_52_104
"Added all sleeves ex existing trend TSMOM long-short [26, 52, 104], weight 15%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_all sleeves ex existing trend_LS_26_52_104
"Added all sleeves ex existing trend TSMOM long-short [26, 52, 104], weight 20%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_all sleeves ex existing trend_LS_26_52_104
"Added all sleeves ex existing trend TSMOM long-flat [26, 52, 104], weight 5%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_all sleeves ex existing trend_LF_26_52_104
"Added all sleeves ex existing trend TSMOM long-flat [26, 52, 104], weight 10%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_all sleeves ex existing trend_LF_26_52_104
"Added all sleeves ex existing trend TSMOM long-flat [26, 52, 104], weight 15%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_all sleeves ex existing trend_LF_26_52_104
"Added all sleeves ex existing trend TSMOM long-flat [26, 52, 104], weight 20%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,TSMOM_all sleeves ex existing trend_LF_26_52_104
"Growth sleeve via 3x QQQ daily-reset wrapper, replace 25%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,3x QQQ daily-reset wrapper
"Growth sleeve via 3x QQQ daily-reset wrapper, replace 50%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,3x QQQ daily-reset wrapper
"Growth sleeve via 3x QQQ daily-reset wrapper, replace 100%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,3x QQQ daily-reset wrapper
"Growth sleeve via 55% 3x QQQ plus cash wrapper, replace 25%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,55% 3x QQQ plus cash wrapper
"Growth sleeve via 55% 3x QQQ plus cash wrapper, replace 50%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,55% 3x QQQ plus cash wrapper
"Growth sleeve via 55% 3x QQQ plus cash wrapper, replace 100%",Hybrid daily source P&L; derived/modified weekly sleeves bridged,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,55% 3x QQQ plus cash wrapper
"Vol forecast: fast 4w, slow 26w, floor 1%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 4w, slow 26w, floor 2%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 4w, slow 26w, floor 4%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 4w, slow 52w, floor 1%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 4w, slow 52w, floor 2%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 4w, slow 52w, floor 4%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 4w, slow 104w, floor 1%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 4w, slow 104w, floor 2%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 4w, slow 104w, floor 4%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 8w, slow 26w, floor 1%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 8w, slow 26w, floor 2%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 8w, slow 26w, floor 4%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 8w, slow 52w, floor 1%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 8w, slow 52w, floor 2%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 8w, slow 52w, floor 4%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 8w, slow 104w, floor 1%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 8w, slow 104w, floor 2%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 8w, slow 104w, floor 4%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 13w, slow 26w, floor 1%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 13w, slow 26w, floor 2%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 13w, slow 26w, floor 4%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 13w, slow 52w, floor 1%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 13w, slow 52w, floor 2%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
"Vol forecast: fast 13w, slow 52w, floor 4%",Direct daily source P&L,Growth_QQQ | Broad_US | Trend | Rates_US5 | Styles | Gold | Corn | Silver | Bitcoin,
