Date,Baseline,Top strategy,PnL difference
2005-01-07,-0.009513463110817568,-0.005190112216665205,0.004323350894152363
2005-01-10,0.007329230802442995,0.00374611799454582,-0.0035831128078971748
2005-01-11,-0.0035784011157061735,0.0004210386672925145,0.003999439782998688
2005-01-12,0.019148888122904852,0.015306683965396445,-0.0038422041575084075
2005-01-13,-0.010370789442661392,-0.006313381802918147,0.004057407639743245
2005-01-14,0.005852540814491927,0.004314514532125563,-0.0015380262823663634
2005-01-18,0.013010486123123024,0.006708306289481169,-0.006302179833641855
2005-01-19,-0.019930835497595945,-0.014447790578316855,0.00548304491927909
2005-01-20,-0.02447675190244545,-0.021878895739799946,0.002597856162645504
2005-01-21,0.006365852244936515,0.005727162421327947,-0.0006386898236085672
2005-01-24,-0.01174076062085009,-0.010688772292030599,0.001051988328819491
2005-01-25,-0.012396516918393753,-0.011514498782504164,0.0008820181358895895
2005-01-26,0.01808508918238855,0.015284757456803374,-0.0028003317255851767
2005-01-27,-0.00042720198034025856,-0.0005910200729324211,-0.00016381809259216254
2005-01-28,0.003339457995132363,0.0035111065935701045,0.00017164859843774158
2005-01-31,0.017139307866602924,0.014638064792615871,-0.002501243073987053
2005-02-01,0.013924566295351286,0.010495204850036233,-0.0034293614453150528
2005-02-02,0.006727091299502169,0.005138611706064737,-0.0015884795934374323
2005-02-03,-0.02076783160014607,-0.019956235043055267,0.0008115965570908018
2005-02-04,0.03495913719481724,0.028217966422794036,-0.0067411707720232035
2005-02-07,-0.0008112332872086489,-0.0014243326703700485,-0.0006130993831613996
2005-02-08,0.0008136647516349749,0.0008456055801187682,3.194082848379323e-05
2005-02-09,-0.008170716554481483,-0.006364531500034195,0.001806185054447288
2005-02-10,0.001188316717466192,-0.0006443357705463727,-0.0018326524880125645
2005-02-11,0.01576626847084204,0.013683651934776246,-0.002082616536065793
2005-02-14,0.011590332867635883,0.013621748245064675,0.0020314153774287913
2005-02-15,0.008598486502666364,0.009400971309215616,0.0008024848065492519
2005-02-16,-0.00981518975215357,-0.009502640138833,0.0003125496133205702
2005-02-17,-0.014121875489131632,-0.012624495026403428,0.0014973804627282043
2005-02-18,-0.007199507600236581,-0.00809663693330829,-0.00089712933307171
2005-02-22,-0.020414000799672895,-0.015508556053370363,0.004905444746302532
2005-02-23,0.006071707559603931,0.003914221260658738,-0.0021574862989451925
2005-02-24,0.016227093041361034,0.0169869704341586,0.0007598773927975644
2005-02-25,0.028810687478247526,0.025897994843469163,-0.0029126926347783633
2005-02-28,-0.018200165159703113,-0.01757281006896144,0.0006273550907416742
2005-03-01,0.008816462636991353,0.008864534345330646,4.8071708339293695e-05
2005-03-02,0.00047449961463773456,0.0023037269916725044,0.0018292273770347698
2005-03-03,-0.004503804477832681,-0.00642228558259183,-0.001918481104759149
2005-03-04,0.04526278039051765,0.04460803054240584,-0.0006547498481118061
2005-03-07,0.012892628309028556,0.018688391066966608,0.005795762757938052
2005-03-08,-0.0018387066028581532,-0.002242162871081459,-0.0004034562682233057
2005-03-09,-0.024482558689553645,-0.02001681916204062,0.004465739527513026
2005-03-10,-0.005070364681124134,-0.008217076131716227,-0.003146711450592093
2005-03-11,-0.0029395756813517457,0.0003589307583169252,0.003298506439668671
2005-03-14,-0.006312907239412595,-0.012093706840112795,-0.005780799600700199
2005-03-15,-0.013222001060046387,-0.011386228064217525,0.0018357729958288615
2005-03-16,-0.005944948427411166,-0.004652686610848506,0.0012922618165626598
2005-03-17,0.004981427469057469,0.008016781317674164,0.0030353538486166945
2005-03-18,-0.00644164642581201,-0.007868837002983957,-0.0014271905771719466
2005-03-21,-0.03294931723446054,-0.034805998503985455,-0.0018566812695249152
2005-03-22,-0.03015447064263975,-0.032483373978972704,-0.0023289033363329548
2005-03-23,-0.02940936035912122,-0.03461073485902817,-0.005201374499906951
2005-03-24,0.003199878406342612,0.004019082102304175,0.0008192036959615628
2005-03-28,0.0011796265327596654,0.0011579256655349516,-2.1700867224713847e-05
2005-03-29,-0.009421360707931894,-0.006855855218442974,0.00256550548948892
2005-03-30,0.02561908569625187,0.023207846137926116,-0.0024112395583257527
2005-03-31,0.013482626598737198,0.014693548526366045,0.0012109219276288472
2005-04-01,-0.003925751931448944,0.0005613216053974367,0.004487073536846381
2005-04-04,0.007527895358882692,0.008561328754798458,0.0010334333959157657
2005-04-05,-0.00010080203928855169,-0.002682455447734204,-0.0025816534084456525
2005-04-06,0.004289486720417392,0.001999485296236205,-0.002290001424181187
2005-04-07,0.008664183948149955,0.0085968400426661,-6.734390548385552e-05
2005-04-08,-0.01691591393991285,-0.014119435923824353,0.0027964780160884967
2005-04-11,0.007986767099154501,0.008417282789672974,0.00043051569051847337
2005-04-12,0.010799701545166874,0.007987163024772991,-0.0028125385203938823
2005-04-13,-0.023111238254386053,-0.02259252170470893,0.0005187165496771222
2005-04-14,-0.02658466345726361,-0.027371568779661546,-0.0007869053223979357
2005-04-15,-0.02966056247542827,-0.032187146320473044,-0.0025265838450447727
2005-04-18,0.0059591610912920305,0.004959973930414828,-0.0009991871608772025
2005-04-19,0.02982980736441573,0.028772407990782147,-0.001057399373633583
